Job:presections,Version:21.20,Units:Metres
point1,2804056.976,1175273.026,1489.827,
point2,2804057.155,1175272.044,1488.992,
point3,2804058.595,1175267.450,1489.086,
waterline1,2804059.551,1175265.424,1488.548,
point4,2804060.161,1175263.868,1488.179,
point5,2804060.960,1175262.380,1488.104,
point6,2804061.381,1175260.708,1488.097,
point7,2804061.954,1175258.784,1488.212,
point8,2804062.230,1175257.737,1488.625,
point9,2804063.378,1175254.616,1488.609,
point10,2804063.582,1175254.125,1488.719,
point11,2804063.839,1175253.438,1488.661,
point12,2804064.044,1175252.984,1488.855,
point13,2804064.999,1175250.552,1488.914,
point14,2804065.986,1175248.044,1488.786,
point15,2804066.989,1175246.027,1488.789,
point16,2804067.661,1175244.929,1488.389,
point17,2804069.714,1175241.299,1488.288,
point18,2804069.879,1175240.387,1488.916,
point19,2804070.586,1175237.103,1489.329,
point20,2804071.476,1175233.033,1489.644,
point21,2804072.338,1175229.627,1490.247,
point22,2804072.876,1175227.492,1491.411,
point23,2804059.828,1175226.747,1490.563,
point24,2804058.483,1175229.060,1489.299,
point25,2804056.916,1175230.997,1488.372,
point26,2804056.558,1175231.463,1488.321,
point27,2804056.034,1175232.220,1488.464,
point28,2804055.485,1175232.973,1488.356,
point29,2804055.302,1175233.234,1488.176,
point30,2804054.708,1175234.171,1488.255,
point31,2804053.724,1175235.639,1488.272,
waterline2,2804052.935,1175236.748,1488.288,
point32,2804052.170,1175238.175,1488.126,
point33,2804051.357,1175239.266,1488.139,
point34,2804050.942,1175240.054,1488.449,
point35,2804049.863,1175241.695,1488.408,
point36,2804048.038,1175244.017,1488.862,
point37,2804046.188,1175246.713,1488.697,
point38,2804045.956,1175247.068,1488.428,
point39,2804045.702,1175247.537,1488.476,
point40,2804043.416,1175251.063,1488.432,
waterline3,2804043.274,1175251.271,1488.280,
point41,2804042.896,1175252.000,1487.915,
point42,2804042.493,1175253.464,1487.802,
point43,2804041.880,1175253.789,1487.589,
point44,2804041.639,1175254.146,1487.756,
point45,2804041.656,1175254.119,1487.755,
point46,2804040.933,1175255.727,1488.134,
point47,2804040.600,1175256.231,1488.191,
point48,2804040.469,1175257.382,1486.103,
point49,2804040.312,1175257.456,1488.001,
point50,2804039.449,1175258.659,1488.393,
point51,2804037.767,1175260.038,1488.265,
point52,2804036.842,1175260.797,1487.881,
point53,2804036.227,1175261.361,1487.657,
point54,2804034.741,1175262.475,1487.592,
point55,2804034.126,1175263.427,1488.499,
point56,2804033.195,1175264.585,1489.306,
point57,2804032.442,1175266.003,1490.347,
point58,2804031.120,1175269.066,1490.588,
point59,2804001.566,1175252.502,1488.133,
point60,2804001.768,1175252.275,1490.268,
point61,2804002.879,1175251.352,1489.304,
point62,2804003.602,1175250.567,1489.496,
point63,2804005.231,1175249.297,1488.466,
point64,2804006.522,1175248.546,1487.928,
point65,2804007.085,1175248.031,1487.438,
point66,2804008.234,1175247.240,1487.402,
point67,2804009.566,1175246.440,1487.140,
point68,2804010.664,1175245.901,1487.220,
point69,2804011.912,1175244.135,1487.604,
point70,2804013.705,1175242.236,1488.008,
point71,2804017.477,1175239.801,1487.818,
point72,2804018.300,1175239.234,1488.194,
point73,2804018.306,1175239.270,1488.184,
point74,2804023.777,1175234.658,1488.523,
point75,2804027.828,1175232.413,1488.453,
point76,2804032.052,1175228.740,1488.062,
point77,2804032.746,1175228.366,1487.875,
point78,2804033.818,1175227.333,1487.818,
point79,2804034.689,1175226.694,1487.828,
point80,2804035.463,1175226.048,1488.051,
point81,2804036.840,1175225.066,1488.123,
point82,2804038.379,1175223.716,1487.936,
point83,2804038.804,1175223.448,1487.860,
point84,2804039.795,1175222.375,1487.963,
point85,2804041.017,1175221.198,1489.059,
point86,2804108.594,1175234.518,1491.044,
point87,2804108.399,1175236.682,1490.189,
point88,2804106.818,1175244.347,1490.500,
point89,2804106.450,1175248.616,1490.242,
point90,2804106.298,1175249.526,1489.892,
point91,2804105.760,1175250.270,1489.216,
point92,2804105.504,1175250.839,1489.026,
point93,2804105.030,1175251.611,1489.250,
point94,2804104.615,1175253.375,1489.095,
point95,2804104.556,1175254.043,1489.227,
point96,2804104.489,1175255.012,1488.920,
point97,2804104.717,1175256.607,1488.893,
point98,2804104.708,1175257.550,1489.139,
point99,2804104.632,1175258.567,1489.101,
point100,2804104.838,1175259.475,1488.971,
point101,2804104.803,1175260.138,1488.918,
point102,2804104.695,1175261.913,1488.823,
point103,2804105.013,1175263.553,1488.843,
point104,2804105.179,1175264.264,1489.106,
point105,2804105.247,1175265.149,1489.085,
point106,2804104.859,1175266.673,1488.948,
point107,2804104.711,1175267.697,1488.975,
point108,2804104.810,1175268.346,1489.131,
point109,2804104.389,1175270.651,1489.228,
point110,2804104.240,1175271.366,1488.952,
point111,2804103.772,1175273.227,1488.950,
point112,2804132.996,1175279.047,1490.226,
point113,2804133.042,1175279.205,1490.284,
point114,2804132.879,1175280.317,1490.968,
point115,2804133.625,1175277.762,1489.587,
point116,2804133.872,1175276.858,1489.207,
point117,2804134.297,1175275.652,1489.533,
point118,2804134.537,1175274.960,1489.676,
point119,2804134.812,1175274.170,1489.716,
point120,2804135.026,1175273.187,1489.383,
point121,2804135.291,1175272.387,1489.354,
point122,2804135.557,1175271.712,1489.523,
point123,2804136.003,1175269.814,1489.689,
point124,2804136.949,1175266.439,1489.765,
point125,2804137.333,1175265.426,1489.509,
point126,2804137.598,1175264.440,1489.444,
point127,2804137.887,1175263.577,1489.531,
point128,2804138.400,1175262.290,1489.486,
point129,2804139.347,1175259.909,1489.406,
point130,2804140.117,1175257.616,1489.472,
point131,2804140.450,1175256.672,1489.638,
point132,2804140.473,1175256.044,1489.666,
point133,2804140.516,1175255.481,1489.690,
point134,2804140.620,1175255.202,1489.615,
point135,2804140.645,1175254.404,1489.648,
point136,2804140.832,1175253.190,1489.694,
point137,2804141.383,1175252.225,1489.702,
point138,2804141.658,1175251.245,1489.502,
point139,2804141.961,1175250.323,1489.715,
point140,2804142.072,1175249.579,1490.476,
point141,2804180.947,1175253.978,1490.216,
point142,2804180.442,1175254.979,1490.416,
point143,2804179.254,1175257.592,1490.230,
point144,2804178.961,1175258.297,1490.186,
point145,2804178.252,1175260.205,1490.298,
point146,2804177.789,1175260.820,1490.231,
point147,2804176.880,1175262.506,1490.272,
point148,2804175.724,1175264.429,1490.319,
point149,2804175.240,1175265.629,1490.347,
point150,2804173.458,1175268.714,1490.220,
point151,2804171.943,1175271.959,1490.216,
point152,2804171.690,1175272.456,1490.033,
point153,2804170.952,1175273.872,1490.019,
point154,2804170.725,1175274.534,1490.337,
point155,2804169.964,1175276.257,1490.284,
point156,2804169.570,1175276.874,1490.530,
point157,2804168.912,1175277.728,1490.436,
point158,2804168.793,1175278.121,1489.941,
point159,2804168.321,1175278.722,1489.877,
point160,2804167.821,1175279.653,1490.055,
point161,2804166.152,1175281.589,1490.099,
point162,2804165.591,1175282.216,1489.759,
point163,2804165.342,1175283.581,1489.669,
point164,2804165.475,1175284.483,1489.753,
point165,2804164.677,1175285.932,1489.892,
point166,2804164.176,1175286.748,1490.221,
point167,2804164.068,1175288.102,1489.956,
point168,2804163.443,1175289.059,1489.820,
point169,2804163.240,1175289.848,1490.158,
